CheckingStatus,LoanDuration,CreditHistory,LoanPurpose,LoanAmount,ExistingSavings,EmploymentDuration,InstallmentPercent,Sex,OthersOnLoan,CurrentResidenceDuration,OwnsProperty,Age,InstallmentPlans,Housing,ExistingCreditsCount,Job,Dependents,Telephone,ForeignWorker,Risk
no_checking,37,outstanding_credit,appliances,6386,greater_1000,greater_7,5,male,co-applicant,3,unknown,45,none,free,3,skilled,2,yes,yes,Risk
less_0,15,credits_paid_to_date,car_new,3012,less_100,1_to_4,2,male,none,1,real_estate,27,none,own,1,skilled,1,none,yes,No Risk
greater_200,34,prior_payments_delayed,radio_tv,5365,100_to_500,greater_7,4,male,none,4,car_other,41,none,own,2,skilled,1,none,yes,Risk
less_0,10,all_credits_paid_back,car_new,762,less_100,1_to_4,1,female,none,2,savings_insurance,27,stores,own,1,skilled,1,none,yes,No Risk
less_0,16,credits_paid_to_date,car_used,1418,less_100,unemployed,2,female,none,3,real_estate,19,none,rent,1,skilled,1,none,yes,No Risk
no_checking,8,all_credits_paid_back,car_new,429,less_100,unemployed,1,female,none,3,real_estate,31,stores,rent,1,unskilled,1,none,yes,No Risk
0_to_200,16,credits_paid_to_date,car_used,517,less_100,1_to_4,3,female,none,1,savings_insurance,27,none,rent,1,skilled,1,none,no,No Risk
no_checking,27,prior_payments_delayed,radio_tv,6693,100_to_500,greater_7,5,male,none,3,car_other,48,none,free,2,management_self-employed,1,none,yes,No Risk
no_checking,18,outstanding_credit,appliances,4561,100_to_500,greater_7,4,female,none,5,unknown,37,none,own,1,skilled,2,yes,yes,Risk
no_checking,28,prior_payments_delayed,repairs,6577,100_to_500,4_to_7,4,female,none,4,car_other,44,none,own,1,skilled,1,none,yes,Risk
less_0,10,all_credits_paid_back,car_used,250,less_100,less_1,2,male,none,1,real_estate,21,stores,rent,1,skilled,1,none,yes,No Risk
no_checking,30,prior_payments_delayed,radio_tv,7031,500_to_1000,4_to_7,4,male,none,3,car_other,45,stores,own,2,unskilled,2,yes,yes,No Risk
less_0,23,prior_payments_delayed,radio_tv,1896,100_to_500,less_1,3,male,none,2,car_other,38,none,own,2,skilled,1,yes,yes,No Risk
0_to_200,7,all_credits_paid_back,vacation,250,less_100,unemployed,2,male,none,1,savings_insurance,19,none,own,1,skilled,1,none,yes,No Risk
no_checking,44,outstanding_credit,retraining,7422,greater_1000,4_to_7,4,female,none,4,car_other,46,none,own,2,skilled,1,yes,yes,Risk
